Título do Projeto;Data de criacao;Estrelas;Linguagem principal;Total de Issues;Total de Issues Abertas;Total de Issues Fechadas;URL do repositorio
afshinea/stanford-cs-229-machine-learning;04/08/18 23:01:00;11027;None;19;11;8;https://github.com/afshinea/stanford-cs-229-machine-learning
rasbt/python-machine-learning-book;07/08/15 20:39:29;10929;Jupyter Notebook;48;5;43;https://github.com/rasbt/python-machine-learning-book
bharathgs/Awesome-pytorch-list;01/03/17 16:58:16;10886;None;12;1;11;https://github.com/bharathgs/Awesome-pytorch-list
ujjwalkarn/Machine-Learning-Tutorials;12/09/15 14:51:38;10749;None;7;4;3;https://github.com/ujjwalkarn/Machine-Learning-Tutorials
ramitsurana/awesome-kubernetes;15/10/15 12:14:48;10705;Shell;59;2;57;https://github.com/ramitsurana/awesome-kubernetes
slundberg/shap;22/11/16 19:17:08;10582;Jupyter Notebook;1269;790;479;https://github.com/slundberg/shap
tensorflow/tensor2tensor;15/06/17 16:57:39;10522;Python;1197;538;659;https://github.com/tensorflow/tensor2tensor
gunthercox/ChatterBot;28/09/14 14:49:00;10450;Python;1395;180;1215;https://github.com/gunthercox/ChatterBot
alex000kim/nsfw_data_scraper;11/01/19 02:21:40;10418;Shell;31;6;25;https://github.com/alex000kim/nsfw_data_scraper
horovod/horovod;09/08/17 19:39:59;10251;Python;1524;698;826;https://github.com/horovod/horovod
fastai/fastbook;28/02/20 19:26:47;10242;Jupyter Notebook;90;28;62;https://github.com/fastai/fastbook
hangtwenty/dive-into-machine-learning;22/02/15 23:48:16;10198;None;52;6;46;https://github.com/hangtwenty/dive-into-machine-learning
aleju/imgaug;10/07/15 20:31:33;10116;Python;402;202;200;https://github.com/aleju/imgaug
RasaHQ/rasa;14/10/16 12:27:49;9969;Python;4542;402;4140;https://github.com/RasaHQ/rasa
apple/turicreate;01/12/17 00:42:04;9933;C++;1680;449;1231;https://github.com/apple/turicreate
chiphuyen/stanford-tensorflow-tutorials;05/11/16 18:21:51;9715;Python;106;65;41;https://github.com/chiphuyen/stanford-tensorflow-tutorials
PyTorchLightning/pytorch-lightning;31/03/19 00:45:57;9544;Python;2170;336;1834;https://github.com/PyTorchLightning/pytorch-lightning
kubeflow/kubeflow;30/11/17 18:44:19;9533;Jsonnet;2887;212;2675;https://github.com/kubeflow/kubeflow
davisking/dlib;29/01/14 00:45:33;9526;C++;1807;42;1765;https://github.com/davisking/dlib
flairNLP/flair;11/06/18 11:04:18;9487;Python;1330;102;1228;https://github.com/flairNLP/flair
tflearn/tflearn;31/03/16 12:05:53;9459;Python;904;552;352;https://github.com/tflearn/tflearn
esimov/caire;08/01/18 19:23:04;9387;Go;44;1;43;https://github.com/esimov/caire
hindupuravinash/the-gan-zoo;14/04/17 16:45:24;9387;Python;30;14;16;https://github.com/hindupuravinash/the-gan-zoo
nltk/nltk;07/09/09 10:53:58;9349;Python;1429;229;1200;https://github.com/nltk/nltk
google/mediapipe;13/06/19 19:16:41;9328;C++;1178;220;958;https://github.com/google/mediapipe
onnx/onnx;07/09/17 04:53:45;9216;PureBasic;1270;388;882;https://github.com/onnx/onnx
ddbourgin/numpy-ml;06/04/19 22:29:49;8988;Python;31;11;20;https://github.com/ddbourgin/numpy-ml
botpress/botpress;16/11/16 21:57:59;8911;TypeScript;1135;120;1015;https://github.com/botpress/botpress
TheAlgorithms/C-Plus-Plus;16/07/16 10:19:45;8910;C++;142;33;109;https://github.com/TheAlgorithms/C-Plus-Plus
vahidk/EffectiveTensorflow;01/08/17 06:00:56;8646;None;18;0;18;https://github.com/vahidk/EffectiveTensorflow
janishar/mit-deep-learning-book-pdf;07/04/17 10:46:50;8646;Java;13;7;6;https://github.com/janishar/mit-deep-learning-book-pdf
donnemartin/awesome-aws;12/10/15 12:02:47;8596;Python;18;5;13;https://github.com/donnemartin/awesome-aws
deepmind/sonnet;03/04/17 11:34:35;8560;Python;147;13;134;https://github.com/deepmind/sonnet
MorvanZhou/tutorials;29/05/16 13:29:44;8560;Python;66;12;54;https://github.com/MorvanZhou/tutorials
JaidedAI/EasyOCR;14/03/20 11:46:39;8556;Python;193;56;137;https://github.com/JaidedAI/EasyOCR
tensorflow/tfjs-core;02/08/17 14:45:47;8530;TypeScript;0;0;0;https://github.com/tensorflow/tfjs-core
Hvass-Labs/TensorFlow-Tutorials;26/06/16 14:43:21;8527;Jupyter Notebook;107;1;106;https://github.com/Hvass-Labs/TensorFlow-Tutorials
kmario23/deep-learning-drizzle;26/11/18 01:17:36;8519;None;30;1;29;https://github.com/kmario23/deep-learning-drizzle
microsoft/recommenders;19/09/18 10:06:07;8518;Python;509;97;412;https://github.com/microsoft/recommenders
facebookarchive/caffe2;25/06/15 18:23:47;8445;Shell;1311;580;731;https://github.com/facebookarchive/caffe2
hanxiao/bert-as-service;12/11/18 10:48:50;8420;Python;460;217;243;https://github.com/hanxiao/bert-as-service
zalandoresearch/fashion-mnist;25/08/17 12:05:15;8396;Python;93;23;70;https://github.com/zalandoresearch/fashion-mnist
rushter/MLAlgorithms;05/10/16 06:46:45;8196;Python;21;6;15;https://github.com/rushter/MLAlgorithms
microsoft/nni;01/06/18 05:51:44;8160;Python;994;222;772;https://github.com/microsoft/nni
lexfridman/mit-deep-learning;08/01/17 00:52:01;8034;Jupyter Notebook;8;1;7;https://github.com/lexfridman/mit-deep-learning
d2l-ai/d2l-en;09/10/18 01:04:37;7837;Python;97;20;77;https://github.com/d2l-ai/d2l-en
GetStream/Winds;19/09/16 17:02:13;7764;JavaScript;303;57;246;https://github.com/GetStream/Winds
clips/pattern;03/05/11 15:29:01;7633;Python;192;117;75;https://github.com/clips/pattern
